z,mu
0.41927,41.6863
0.41931,41.4604
0.41962,41.8662
0.41956,41.7981
0.41997,41.4394
0.42027,41.8343
0.4209,41.6178
0.42085,41.728
0.42199,41.5336
0.42245,41.6483
0.42242,41.6796
0.42355,41.5955
0.42349,41.8403
0.42392,41.7264
0.42451,41.7483
0.42562,41.7039
0.42594,41.7517
0.42689,41.813
0.42694,41.8348
0.42784,42.2757
0.42865,41.8825
0.42888,41.6443
0.42895,41.8266
0.42967,41.9219
0.43013,41.8354
0.43487,41.7828
0.43544,41.5839
0.43673,42.0051
0.43765,41.6253
0.43774,41.882
0.43883,41.4679
0.43883,41.6682
0.43926,41.8262
0.44004,42.1401
0.44059,41.6364
0.44154,41.6823
0.44246,41.8523
0.44254,41.9039
0.44368,41.793
0.44384,41.8069
0.44756,41.8552
0.4489,41.8853
0.44896,41.9875
0.4506,41.6446
0.451,41.9281
0.45169,41.5892
0.45169,41.9923
0.45155,41.7162
0.45223,41.9959
0.45333,41.7953
0.45347,41.8863
0.45463,41.7873
0.45478,41.8839
0.45878,41.9679
0.46055,42.0021
0.46098,42.0162
0.46156,41.9839
0.46641,42.3424
0.4666,42.048
0.4684,41.9733
0.4688,41.7631
0.47039,42.2151
0.47057,42.0135
0.4717,41.9798
0.47196,42.0374
0.47572,41.938
0.47793,42.2269
0.47943,41.8695
0.47948,42.0107
0.4798,41.8956
0.48056,42.0041
0.48071,41.9748
0.48171,42.3055
0.48881,42.0842
0.49246,42.2783
0.49501,42.0821
0.4956,42.1453
0.49572,42.0817
0.49737,42.1268
0.50073,42.257
0.5009,42.1165
0.50276,42.161
0.50276,42.0703
0.503,42.1484
0.50309,42.1444
0.50598,42.079
0.50617,42.1043
0.50716,42.2358
0.50737,42.2419
0.50817,42.0193
0.51006,42.0945
0.51087,42.0583
0.51175,42.3885
0.5138,42.2567
0.51435,42.2259
0.51475,42.3259
0.51718,42.0932
0.51876,42.1949
0.51879,42.1824
0.51943,42.2438
0.5196,42.2905
0.52277,42.3496
0.52393,42.1774
0.52613,42.1702
0.52851,42.0855
0.52939,42.2913
0.53091,41.8802
0.53105,42.5109
0.53117,42.5253
0.53226,41.9821
0.53277,42.2472
0.53377,42.1649
0.53433,42.1433
0.53532,42.3205
0.53578,42.2134
0.53944,42.3338
0.54089,42.2791
0.54154,42.53
0.5454,42.5633
0.54832,42.0235
0.54886,42.1695
0.55011,42.3253
0.55031,42.3728
0.55048,42.4104
0.5526,42.1938
0.5538,42.49
0.55389,42.0827
0.55775,42.4389
0.55875,42.7331
0.55875,42.2975
0.56174,42.2937
0.56263,42.6016
0.56276,42.4296
0.56441,42.3928
0.5643,42.4881
0.56431,42.3969
0.56475,42.4873
0.56883,42.2407
0.57535,42.1912
0.57583,42.5915
0.57609,42.4887
0.57661,42.4263
0.57741,42.645
0.57829,42.4174
0.57823,42.4512
0.57875,42.4272
0.57884,42.5317
0.57959,42.3923
0.5806,42.573
0.58073,42.7061
0.58294,42.5408
0.58328,42.7974
0.58375,42.4765
0.58375,42.6489
0.58382,42.4199
0.58575,42.707
0.58728,42.6241
0.58873,42.5021
0.59028,42.5156
0.59184,42.4508
0.6006,42.6116
0.60149,42.7562
0.60327,42.7503
0.6062,42.6158
0.60826,42.5904
0.6088,42.4282
0.60873,42.6179
0.60987,42.6876
0.61064,42.6686
0.61125,42.9049
0.61171,42.701
0.61571,42.7085
0.61869,42.7164
0.61942,42.6948
0.61988,42.7557
0.62063,42.6988
0.62188,42.5894
0.62523,42.6577
0.62723,42.585
0.63071,42.6632
0.63189,42.3111
0.63223,42.8493
0.63392,42.5972
0.63771,42.5298
0.63787,42.8637
0.63823,42.6594
0.63866,42.7804
0.63936,42.79
0.6419,42.8476
0.64305,42.3609
0.64364,42.7992
0.64363,42.8034
0.64763,42.819
0.64846,43.0397
0.64863,42.7335
0.64964,42.7805
0.66207,42.9793
0.66463,42.8698
0.67065,43.0677
0.67767,43.2251
0.68195,42.8376
0.68365,43.1716
0.68517,43.0166
0.68867,42.8137
0.68937,42.8535
0.68937,43.0444
0.69065,42.9143
0.69316,42.9162
0.69716,42.9692
0.69816,42.9671
0.69916,42.9402
0.69916,43.0691
0.69933,43.1107
0.69997,43.1147
0.70064,42.917
0.70115,43.0968
0.70197,42.8962
0.70198,43.0433
0.71565,42.9944
0.71867,42.8739
0.71962,43.1638
0.71964,42.97
0.72013,43.1612
0.72067,43.0459
0.72667,43.0811
0.72767,43.008
0.72861,43.005
0.73012,42.9186
0.73163,43.1799
0.73362,42.9845
0.734,43.22
0.73501,43.2537
0.73562,43.1807
0.73602,43.1675
0.73668,42.992
0.74202,43.4813
0.74269,43.0825
0.74566,43.1675
0.74613,42.9817
0.7491,42.9396
0.74932,43.1772
0.75068,42.9012
0.75904,43.2469
0.76069,43.0667
0.76108,43.1767
0.76159,43.131
0.7656,43.2369
0.7666,43.4224
0.76668,43.3623
0.76707,43.5587
0.7686,43.2929
0.76933,43.2168
0.77308,43.3568
0.77931,43.0395
0.78806,43.3042
0.78905,43.3837
0.78929,43.1995
0.79656,42.9026
0.79858,43.4338
0.83973,43.36
0.83973,43.2012
0.85474,43.6168
0.93577,43.5331
0.97424,44.1111
1.01236,44.1177
1.0198,44.2757
1.02081,43.9706
1.02781,44.5364
1.04819,44.4229
1.12085,44.4405
1.23223,44.3207
1.23589,44.905
1.29912,44.8641
1.30412,44.7206
1.30612,45.0197
1.31311,44.7867
1.32911,44.8745
1.34093,44.7541
1.35134,44.5492
1.3561,44.8094
1.39096,44.7944
1.41631,44.4579
1.54295,45.0902
1.54903,45.293
1.61499,45.1595
1.69702,45.2863
1.80111,45.4865
1.9116,45.4233
2.2613,46.1828
