z,mu
0.02253,34.7306
0.02382,34.8438
0.02226,34.8693
0.02224,34.6849
0.02368,35.2685
0.02374,34.8584
0.0226,34.9992
0.0226,34.9712
0.0235,34.985
0.02324,34.7666
0.02317,35.0225
0.02262,34.883
0.02287,34.9168
0.02222,35.0537
0.02295,34.6478
0.02295,34.4301
0.02328,34.9851
0.02328,35.0081
0.02328,34.9783
0.02315,34.8582
0.02315,34.8582
0.02309,34.8331
0.02405,34.8391
0.0245,34.9998
0.0228,35.0406
0.0228,34.9509
0.02331,34.5715
0.0222,34.9543
0.02422,34.943
0.02307,34.9949
0.02396,34.889
0.02296,34.994
0.02454,34.8993
0.02358,35.1018
0.02436,35.1049
0.02436,34.4711
0.02421,34.8782
0.0242,34.9421
0.0242,35.084
0.0245,35.1803
0.02425,35.0771
0.02395,34.9871
0.02395,34.953
0.02349,35.2317
0.02414,35.0102
0.02476,35.008
0.02476,35.0746
0.02476,34.9493
0.02395,35.1784
0.02451,35.1061
0.02451,35.0521
0.02451,34.8898
0.02426,34.9528
0.02426,34.807
0.02406,34.8112
0.02404,35.0862
0.02491,35.1973
0.02553,35.2152
0.02481,34.8369
0.02481,34.8482
0.02413,35.079
0.02481,35.009
0.02499,35.0276
0.02443,34.4583
0.025,34.9117
0.025,35.1989
0.025,35.2277
0.02469,35.1139
0.02469,35.1145
0.02547,34.9842
0.02494,34.9441
0.02494,34.9063
0.02582,35.1882
0.02522,35.1974
0.02474,35.1828
0.02492,35.0621
0.02592,34.7664
0.02538,35.1181
0.02525,35.4014
0.02584,35.2931
0.02584,35.1081
0.02584,34.835
0.02618,35.3111
0.02597,35.2855
0.02597,35.3429
0.02579,35.0223
0.02595,35.308
0.02603,35.2688
0.02603,35.2892
0.02691,35.1184
0.02643,35.2513
0.0264,35.3224
0.02724,35.2892
0.02633,35.2673
0.02655,35.3437
0.02655,35.1118
0.02655,35.227
0.02643,35.313
0.0266,35.3042
0.02721,35.5236
0.02717,35.113
0.02717,35.1538
0.02717,35.1117
0.02676,35.3467
0.0277,35.7258
0.02704,35.1306
0.02759,35.6739
0.02748,35.3613
0.02827,35.3174
0.02775,35.2874
0.02831,35.5061
0.02831,35.5563
0.02831,35.558
0.02794,35.2665
0.02834,35.372
0.02834,35.3421
0.02778,35.1049
0.02732,35.4368
0.02732,35.2913
0.02732,35.359
0.02802,35.1963
0.02829,35.5996
0.02779,35.6596
0.02953,35.3449
0.02859,35.4105
0.02806,34.9487
0.02828,35.2763
0.02871,35.4779
0.02845,35.0558
0.02875,35.5152
0.02844,35.6948
0.0285,35.2391
0.02895,35.6024
0.02895,35.6222
0.02874,35.472
0.0299,35.2761
0.02886,35.0939
0.02896,35.6079
0.0305,35.3638
0.03053,35.4654
0.029,35.5064
0.03048,35.2781
0.02935,35.5015
0.02988,35.5116
0.02934,35.4354
0.02962,35.861
0.02978,35.5195
0.02978,35.4838
0.02978,35.4761
0.03025,35.5185
0.03002,35.5542
0.02994,35.4803
0.02973,35.5345
0.02965,35.3586
0.03099,35.3522
0.03004,35.6084
0.0298,35.4648
0.03007,35.4164
0.03093,35.4926
0.03136,35.6481
0.03072,35.9224
0.03072,35.406
0.03072,35.3374
0.03013,35.565
0.03107,35.67
0.03107,35.5409
0.03132,35.5877
0.03093,35.5304
0.03156,35.6675
0.03141,35.4957
0.03141,35.5793
0.03141,35.4841
0.03241,35.772
0.03241,35.7428
0.03241,35.7867
0.03075,35.6231
0.03107,35.6461
0.03264,35.5602
0.03123,35.9119
0.03081,35.7017
0.03081,35.707
0.03081,35.6474
0.03081,35.6847
0.03279,35.7279
0.03207,35.4592
0.03158,35.4896
0.03174,35.6746
0.03201,35.576
